Demand Location,Deman Site, Total Demand ,Production/Source Location,Source Site,First Warehouse,First Stop,Second Warehouse,Second Stop,Third Warehouse,Third Stop,Product Details
"Y001 Brampton, ON DC",Y001," 23,564,663 ","Y001 Brampton, ON DC",Y001,,,,,,,"Brampton PET, Core Cans, BIB, 300ml, 250ml, Dasani"
"Y001 Brampton, ON DC",Y001," 734,805 ","Y002 Calgary, AB DC",Y002,"Y071 TCS Calgary, AB DC",Y071,Y053 NFI Toronto Aux WH,Y053,,,355ml Can Fresca and Diet A&W
"Y001 Brampton, ON DC",Y001," 33,868 ","Y002 Calgary, AB DC",Y002,"Y071 TCS Calgary, AB DC",Y071,Y053 NFI Toronto Aux WH,Y053,,,1L AHA
"Y001 Brampton, ON DC",Y001," 3,414 ","Y002 Calgary, AB DC",Y002,,,,,,,10L BIB skus
"Y001 Brampton, ON DC",Y001," 12,622,135 ","Y011 Weston, ON DC",Y011,Y053 NFI Toronto Aux WH,Y053,,,,,"All Weston can SKUS - hotfill can, monster, non core SSD"
"Y001 Brampton, ON DC",Y001," 128,499 ","Y028 Lachine, QC PC",Y028,Y053 NFI Toronto Aux WH,Y053,,,,,500ml PET small runners
"Y001 Brampton, ON DC",Y001," 1,883,011 ",Y057 Delta Beverages ,Y057,Y053 NFI Toronto Aux WH,Y053,,,,,"Juice, PA, Glass"
"Y001 Brampton, ON DC",Y001," 726,501 ",Y059 Joriki ,Y059,Y053 NFI Toronto Aux WH,Y053,,,,,VW
"Y001 Brampton, ON DC",Y001," 547,957 ",Y060 Alliance repack,Y060,Y053 NFI Toronto Aux WH,Y053,,,,,Variety Packs
"Y001 Brampton, ON DC",Y001," 351,905 ",External Purchases,Exte,,,,,,,"Smartwater, some BIB"
"Y001 Brampton, ON DC",Y001," 517,933 ",External Purchases,Exte,Y053 NFI Toronto Aux WH,Y053,,,,,"Some Smartwater, CorePower, Monster Imports"
"Y002 Calgary, AB DC",Y002," 7,090 ","Y001 Brampton, ON DC",Y001,,,,,,,"10L BIB, 2L Kosher Coke"
"Y002 Calgary, AB DC",Y002," 198,462 ","Y001 Brampton, ON DC",Y001,Y053 NFI Toronto Aux WH,Y053,,,,,"300ml, 250ml PET"
"Y002 Calgary, AB DC",Y002," 9,903,997 ","Y002 Calgary, AB DC",Y002,,,,,,,
"Y002 Calgary, AB DC",Y002," 1,406,871 ","Y011 Weston, ON DC",Y011,Y053 NFI Toronto Aux WH,Y053,,,,,"Weston can SKUS - hotfill can, monster"
"Y002 Calgary, AB DC",Y002," 16,533 ","Y028 Lachine, QC PC",Y028,Y053 NFI Toronto Aux WH,Y053,,,,,500ml PET small runners
"Y002 Calgary, AB DC",Y002," 1,414,016 ","Y045 Richmond, BC PC",Y045,"Y044 Richmond, BC DC",Y044,,,,,"Monster, 222ml can"
"Y002 Calgary, AB DC",Y002," 622,433 ",Y057 Delta Beverages ,Y057,Y053 NFI Toronto Aux WH,Y053,"Y071 TCS Calgary, AB DC",Y071,,,"Juice, PA, Glass"
"Y002 Calgary, AB DC",Y002," 301,491 ",Y059 Joriki ,Y059,Y053 NFI Toronto Aux WH,Y053,,,,,VW
"Y002 Calgary, AB DC",Y002," 183,288 ",Y060 Alliance repack,Y060,Y053 NFI Toronto Aux WH,Y053,,,,,Variety Packs
"Y002 Calgary, AB DC",Y002," 440,230 ",External Purchases,Exte,"Y071 TCS Calgary, AB DC",Y071,,,,,"Smartwater, Monster Imports"
"Y002 Calgary, AB DC",Y002," 44,843 ",External Purchases,Exte,Y053 NFI Toronto Aux WH,Y053,,,,,CorePower
"Y002 Calgary, AB DC",Y002," 10,204 ",External Purchases,Exte,,,,,,,non KO BIB
"Y004 Barrie, ON DC",Y004," 4,181,713 ","Y001 Brampton, ON DC",Y001,,,,,,," Brampton PET, Core Cans, BIB "
"Y004 Barrie, ON DC",Y004," 166,675 ","Y001 Brampton, ON DC",Y001,Y053 NFI Toronto Aux WH,Y053,,,,,"300ml, 250ml, Dasani"
"Y004 Barrie, ON DC",Y004," 230,724 ","Y002 Calgary, AB DC",Y002,"Y071 TCS Calgary, AB DC",Y071,Y053 NFI Toronto Aux WH,Y053,,,355ml Can Fresca and Diet A&W
"Y004 Barrie, ON DC",Y004," 4,105 ","Y002 Calgary, AB DC",Y002,"Y071 TCS Calgary, AB DC",Y071,Y053 NFI Toronto Aux WH,Y053,,,1L AHA
"Y004 Barrie, ON DC",Y004," 3,183,908 ","Y011 Weston, ON DC",Y011,Y053 NFI Toronto Aux WH,Y053,,,,,"All Weston can SKUS - hotfill can, monster, non core SSD"
"Y004 Barrie, ON DC",Y004," 16,413 ","Y028 Lachine, QC PC",Y028,Y053 NFI Toronto Aux WH,Y053,,,,,500ml PET small runners
"Y004 Barrie, ON DC",Y004," 234,856 ",Y057 Delta Beverages ,Y057,Y053 NFI Toronto Aux WH,Y053,,,,,"Juice, PA, Glass"
"Y004 Barrie, ON DC",Y004," 147,913 ",Y059 Joriki ,Y059,Y053 NFI Toronto Aux WH,Y053,,,,,VW
"Y004 Barrie, ON DC",Y004," 87,479 ",Y060 Alliance repack,Y060,Y053 NFI Toronto Aux WH,Y053,,,,,Variety Packs
"Y004 Barrie, ON DC",Y004," 161,432 ",External Purchases,Exte,Y053 NFI Toronto Aux WH,Y053,,,,,"Smartwater, CorePower, Monster Imports"
"Y005 Hamilton, ON DC",Y005," 4,070,720 ","Y001 Brampton, ON DC",Y001,,,,,,,"Brampton PET, Core Cans, BIB"
"Y005 Hamilton, ON DC",Y005," 193,379 ","Y001 Brampton, ON DC",Y001,Y053 NFI Toronto Aux WH,Y053,,,,,"300ml, 250ml, Dasani"
"Y005 Hamilton, ON DC",Y005," 218,122 ","Y002 Calgary, AB DC",Y002,"Y071 TCS Calgary, AB DC",Y071,Y053 NFI Toronto Aux WH,Y053,,,355ml Can Fresca and Diet A&W
"Y005 Hamilton, ON DC",Y005," 4,282 ","Y002 Calgary, AB DC",Y002,"Y071 TCS Calgary, AB DC",Y071,Y053 NFI Toronto Aux WH,Y053,,,1L AHA
"Y005 Hamilton, ON DC",Y005," 2,978,476 ","Y011 Weston, ON DC",Y011,Y053 NFI Toronto Aux WH,Y053,,,,,"All Weston can SKUS - hotfill can, monster, non core SSD"
"Y005 Hamilton, ON DC",Y005," 12,962 ","Y028 Lachine, QC PC",Y028,Y053 NFI Toronto Aux WH,Y053,,,,,500ml PET small runners
"Y005 Hamilton, ON DC",Y005," 245,302 ",Y057 Delta Beverages ,Y057,Y053 NFI Toronto Aux WH,Y053,,,,,"Juice, PA, Glass"
"Y005 Hamilton, ON DC",Y005," 132,407 ",Y059 Joriki ,Y059,Y053 NFI Toronto Aux WH,Y053,,,,,VW
"Y005 Hamilton, ON DC",Y005," 99,679 ",Y060 Alliance repack,Y060,Y053 NFI Toronto Aux WH,Y053,,,,,Variety Packs
"Y005 Hamilton, ON DC",Y005," 186,813 ",External Purchases,Exte,Y053 NFI Toronto Aux WH,Y053,,,,,"Smartwater, CorePower, Monster Imports"
"Y006 Kingston, ON DC",Y006," 2,124,198 ","Y001 Brampton, ON DC",Y001,,,,,,,"Brampton PET, Core Cans, BIB"
"Y006 Kingston, ON DC",Y006," 87,187 ","Y001 Brampton, ON DC",Y001,Y053 NFI Toronto Aux WH,Y053,,,,,"300ml, 250ml, Dasani"
"Y006 Kingston, ON DC",Y006," 128,006 ","Y002 Calgary, AB DC",Y002,"Y071 TCS Calgary, AB DC",Y071,Y053 NFI Toronto Aux WH,Y053,,,355ml Can Fresca and Diet A&W
"Y006 Kingston, ON DC",Y006," 2,143 ","Y002 Calgary, AB DC",Y002,"Y071 TCS Calgary, AB DC",Y071,Y053 NFI Toronto Aux WH,Y053,,,1L AHA
"Y006 Kingston, ON DC",Y006," 1,609,146 ","Y011 Weston, ON DC",Y011,Y053 NFI Toronto Aux WH,Y053,,,,,"All Weston can SKUS - hotfill can, monster, non core SSD"
"Y006 Kingston, ON DC",Y006," 9,303 ","Y028 Lachine, QC PC",Y028,Y053 NFI Toronto Aux WH,Y053,,,,,500ml PET small runners
"Y006 Kingston, ON DC",Y006," 130,209 ",Y057 Delta Beverages ,Y057,Y053 NFI Toronto Aux WH,Y053,,,,,"Juice, PA, Glass"
"Y006 Kingston, ON DC",Y006," 76,821 ",Y059 Joriki ,Y059,Y053 NFI Toronto Aux WH,Y053,,,,,VW
"Y006 Kingston, ON DC",Y006," 24,379 ",Y060 Alliance repack,Y060,Y053 NFI Toronto Aux WH,Y053,,,,,Variety Packs
"Y006 Kingston, ON DC",Y006," 105,636 ",External Purchases,Exte,Y053 NFI Toronto Aux WH,Y053,,,,,"Smartwater, CorePower, Monster Imports"
"Y007 London, ON DC",Y007," 5,494,012 ","Y001 Brampton, ON DC",Y001,,,,,,," Brampton PET, Core Cans, BIB "
"Y007 London, ON DC",Y007," 240,973 ","Y001 Brampton, ON DC",Y001,Y053 NFI Toronto Aux WH,Y053,,,,,"300ml, 250ml, Dasani"
"Y007 London, ON DC",Y007," 277,775 ","Y002 Calgary, AB DC",Y002,"Y071 TCS Calgary, AB DC",Y071,Y053 NFI Toronto Aux WH,Y053,,,355ml Can Fresca and Diet A&W
"Y007 London, ON DC",Y007," 4,254 ","Y002 Calgary, AB DC",Y002,"Y071 TCS Calgary, AB DC",Y071,Y053 NFI Toronto Aux WH,Y053,,,1L AHA
"Y007 London, ON DC",Y007," 3,617,146 ","Y011 Weston, ON DC",Y011,Y053 NFI Toronto Aux WH,Y053,,,,,"All Weston can SKUS - hotfill can, monster, non core SSD"
"Y007 London, ON DC",Y007," 20,597 ","Y028 Lachine, QC PC",Y028,Y053 NFI Toronto Aux WH,Y053,,,,,500ml PET small runners
"Y007 London, ON DC",Y007," 307,993 ",Y057 Delta Beverages ,Y057,Y053 NFI Toronto Aux WH,Y053,,,,,"Juice, PA, Glass"
"Y007 London, ON DC",Y007," 160,297 ",Y059 Joriki ,Y059,Y053 NFI Toronto Aux WH,Y053,,,,,VW
"Y007 London, ON DC",Y007," 120,036 ",Y060 Alliance repack,Y060,Y053 NFI Toronto Aux WH,Y053,,,,,Variety Packs
"Y007 London, ON DC",Y007," 213,079 ",External Purchases,Exte,Y053 NFI Toronto Aux WH,Y053,,,,,"Smartwater, CorePower, Monster Imports"
"Y008 Owen Sound, ON DB",Y008,,,,,,,,,,
"Y009 Sault Ste Marie, ON DB",Y009,,,,,,,,,,
"Y010 Sudbury, ON DC",Y010," 1,236,619 ","Y001 Brampton, ON DC",Y001,,,,,,,"Brampton PET, Core Cans, BIB"
"Y010 Sudbury, ON DC",Y010," 64,812 ","Y001 Brampton, ON DC",Y001,Y053 NFI Toronto Aux WH,Y053,,,,,"300ml, 250ml, Dasani"
"Y010 Sudbury, ON DC",Y010," 102,921 ","Y002 Calgary, AB DC",Y002,"Y071 TCS Calgary, AB DC",Y071,Y053 NFI Toronto Aux WH,Y053,,,355ml Can Fresca and Diet A&W
"Y010 Sudbury, ON DC",Y010," 1,625 ","Y002 Calgary, AB DC",Y002,"Y071 TCS Calgary, AB DC",Y071,Y053 NFI Toronto Aux WH,Y053,,,1L AHA
"Y010 Sudbury, ON DC",Y010," 1,141,098 ","Y011 Weston, ON DC",Y011,Y053 NFI Toronto Aux WH,Y053,,,,,"All Weston can SKUS - hotfill can, monster, non core SSD"
"Y010 Sudbury, ON DC",Y010," 4,991 ","Y028 Lachine, QC PC",Y028,Y053 NFI Toronto Aux WH,Y053,,,,,500ml PET small runners
"Y010 Sudbury, ON DC",Y010," 96,222 ",Y057 Delta Beverages ,Y057,Y053 NFI Toronto Aux WH,Y053,,,,,"Juice, PA, Glass"
"Y010 Sudbury, ON DC",Y010," 46,701 ",Y059 Joriki ,Y059,Y053 NFI Toronto Aux WH,Y053,,,,,VW
"Y010 Sudbury, ON DC",Y010," 37,122 ",Y060 Alliance repack,Y060,Y053 NFI Toronto Aux WH,Y053,,,,,Variety Packs
"Y010 Sudbury, ON DC",Y010," 66,373 ",External Purchases,Exte,Y053 NFI Toronto Aux WH,Y053,,,,,"Smartwater, CorePower, Monster Imports"
"Y011 Weston, ON DC",Y011," 615,568 ","Y011 Weston, ON DC",Y011,,,,,,,Pizza Pizza skus
"Y011 Weston, ON DC",Y011, 184 ,"Y001 Brampton, ON DC",Y001,Y053 NFI Toronto Aux WH,Y053,,,,,"300ml, 250 ml PET"
"Y012 Windsor, ON DB",Y012,,,,,,,,,,
"Y013 Bathurst, NB DC",Y013,,,,,,,,,,
"Y014 Edmundston, NB DB",Y014,,,,,,,,,,
"Y015 Fredericton, NB DB",Y015,,,,,,,,,,
"Y016 Moncton, NB DC",Y016," 84,367 ","Y001 Brampton, ON DC",Y001,,,,,,,"20L BIB, 1 Dasani sku"
"Y016 Moncton, NB DC",Y016," 346,801 ","Y001 Brampton, ON DC",Y001,Y053 NFI Toronto Aux WH,Y053,,,,,"32 pack can, 300ml, 250ml, small runners 500ml & 710ml"
"Y016 Moncton, NB DC",Y016," 1,523 ","Y001 Brampton, ON DC",Y001,"Y027 Fairway, QC AUX WH",Y027,,,,,10L BIB 2 skus
"Y016 Moncton, NB DC",Y016," 2,577 ","Y002 Calgary, AB DC",Y002,"Y071 TCS Calgary, AB DC",Y071,Y053 NFI Toronto Aux WH,Y053,,,1L AHA
"Y016 Moncton, NB DC",Y016," 1,031,736 ","Y011 Weston, ON DC",Y011,Y053 NFI Toronto Aux WH,Y053,,,,,"Unique Weston can SKUS - hotfill can, monster, 222ml"
"Y016 Moncton, NB DC",Y016," 3,072,415 ","Y028 Lachine, QC PC",Y028,"Y027 Fairway, QC AUX WH",Y027,,,,,"CSD cans, PET, BIB"
"Y016 Moncton, NB DC",Y016," 224,345 ",Y057 Delta Beverages ,Y057,Y053 NFI Toronto Aux WH,Y053,,,,,"Juice, PA, Glass"
"Y016 Moncton, NB DC",Y016," 71,880 ",Y059 Joriki ,Y059,Y053 NFI Toronto Aux WH,Y053,,,,,VW
"Y016 Moncton, NB DC",Y016," 68,532 ",Y060 Alliance repack,Y060,Y053 NFI Toronto Aux WH,Y053,,,,,Variety Packs
"Y016 Moncton, NB DC",Y016," 117,611 ",External Purchases,Exte,Y053 NFI Toronto Aux WH,Y053,,,,,"Smartwater, CorePower, Monster Imports"
"Y017 Saint John, NB DB",Y017,,,,,,,,,,
"Y018 Coldbrook, NS DB",Y018,,,,,,,,,,
"Y019 Halifax, NS DC",Y019," 43,764 ","Y001 Brampton, ON DC",Y001,,,,,,,"20L BIB, 1 Dasani sku"
"Y019 Halifax, NS DC",Y019," 254,052 ","Y001 Brampton, ON DC",Y001,Y053 NFI Toronto Aux WH,Y053,,,,,"32 pack can, 300ml, 250ml, small runners 500ml & 710ml"
"Y019 Halifax, NS DC",Y019, 86 ,"Y001 Brampton, ON DC",Y001,"Y027 Fairway, QC AUX WH",Y027,,,,,1 500ml PET sku (error?)
"Y019 Halifax, NS DC",Y019," 4,639 ","Y002 Calgary, AB DC",Y002,"Y071 TCS Calgary, AB DC",Y071,Y053 NFI Toronto Aux WH,Y053,,,1L AHA
"Y019 Halifax, NS DC",Y019," 1,167,482 ","Y011 Weston, ON DC",Y011,Y053 NFI Toronto Aux WH,Y053,,,,,"Unique Weston can SKUS - hotfill can, monster, 222ml"
"Y019 Halifax, NS DC",Y019," 1,303,366 ","Y028 Lachine, QC PC",Y028,"Y027 Fairway, QC AUX WH",Y027,,,,,"CSD cans, PET, BIB"
"Y019 Halifax, NS DC",Y019," 178,491 ",Y057 Delta Beverages ,Y057,Y053 NFI Toronto Aux WH,Y053,,,,,"Juice, PA, Glass"
"Y019 Halifax, NS DC",Y019," 91,651 ",Y059 Joriki ,Y059,Y053 NFI Toronto Aux WH,Y053,,,,,VW
"Y019 Halifax, NS DC",Y019," 50,538 ",Y060 Alliance repack,Y060,Y053 NFI Toronto Aux WH,Y053,,,,,Variety Packs
"Y019 Halifax, NS DC",Y019," 135,719 ",External Purchases,Exte,Y053 NFI Toronto Aux WH,Y053,,,,,"Smartwater, CorePower, Monster Imports"
"Y020 Stellarton, NS DB",Y020,,,,,,,,,,
"Y021 Sydney, NS DC",Y021," 3,166 ","Y001 Brampton, ON DC",Y001,"Y016 Moncton, NB DC",Y016,,,,,1 Dasani sku
"Y021 Sydney, NS DC",Y021," 20,328 ","Y001 Brampton, ON DC",Y001,Y053 NFI Toronto Aux WH,Y053,,,,,"32 pack can, 300ml, 250ml, small runners 500ml & 710ml"
"Y021 Sydney, NS DC",Y021, 244 ,"Y002 Calgary, AB DC",Y002,"Y071 TCS Calgary, AB DC",Y071,Y053 NFI Toronto Aux WH,Y053,"Y016 Moncton, NB DC",Y016,1L AHA
"Y021 Sydney, NS DC",Y021," 154,697 ","Y011 Weston, ON DC",Y011,Y053 NFI Toronto Aux WH,Y053,"Y016 Moncton, NB DC",Y016,,,"Unique Weston can SKUS - hotfill can, monster, 222ml"
"Y021 Sydney, NS DC",Y021," 301,440 ","Y028 Lachine, QC PC",Y028,"Y027 Fairway, QC AUX WH",Y027,"Y016 Moncton, NB DC",Y016,,,"CSD cans, PET, BIB"
"Y021 Sydney, NS DC",Y021," 34,417 ",Y057 Delta Beverages ,Y057,Y053 NFI Toronto Aux WH,Y053,"Y016 Moncton, NB DC",Y016,,,"Juice, PA, Glass"
"Y021 Sydney, NS DC",Y021," 11,071 ",Y059 Joriki ,Y059,Y053 NFI Toronto Aux WH,Y053,"Y016 Moncton, NB DC",Y016,,,VW
