SiteID,DC Number,Site_Type,Region,Name,Address,City,State,Country,Postal_Code,Latitude,Longitude
23447,Y015,W_XD,East_NB,FrederictonXD,225 Allison Blvd,Fredericton  ,NB,Canada,E3C 2S5,45.8905,-66.6074
23448,Y017,W_XD,East_NB,Saint JohnXD,"28 McIlveen Drive, Unit #28",Saint John,NB,Canada,E2J 4Y7,45.2696,-65.9942
23449,Y018,W_XD,East_NS,ColdbrookXD,7165 Cambrooken Court,Coldbrook,NS,Canada,B4R 1A2,45.0688,-64.5695
23450,Y020,W_XD,East_NS,StellartonXD,101 MacGregor Avenue,Stellarton  ,NS,Canada,B0K 2A0,45.5603,-62.6658
23451,Y022,W_XD,East_NS,TruroXD,310 Prince Place,Truro,NS,Canada,B2N 1C9,45.365,-63.2817
23452,Y023,W_XD,East_NS,YarmouthXD,"345 Highway #1, Unit #3",Yarmouth ,NS,Canada,B5A 1E7,43.9297,-66.1215
23453,Y025,W_DB,East_PE,CharlottetownDB,2 Aviation Ave,Winsloe,PE,Canada,C1E 1Z2,46.3139,-63.1676
23454,Y032,W_XD,East_QC,Trois-RivieresX,8500 boul. Indstriel,Trois-Rivières,QC,Canada,G9A 5E1,46.3552,-72.5381
23455,Y036,W_XD,West_BC,ChilliwackXD,44520 Yale Road,Sardis,BC,Canada,V2R 1A9,49.1447,-121.991
23456,Y039,W_DB,West_BC,Dawson CreekDB,2140 Alaska Hwy,Dawson Creek,BC,Canada,V1G 1Y2,55.7597,-120.2236
23457,Y050,W_DB,West_SK,LloydminsterDB,4502-35 Avenue,Lloydminster,SK,Canada,S9V 0Y4,53.2803,-110.0043
23458,Y004,W_DB,Cent_ON,BarrieDB,401 Bayview Drive,Barrie ,ON,Canada,L4N 8Y2,44.3404,-79.6776
23459,Y006,W_DB,Cent_ON,KingstonDB,800 Innovation Dr,Kingston,ON,Canada,K7K 7E7,44.274197,-76.439718
23460,Y010,W_DB,Cent_ON,SudburyDB,970 Lorne St.,Sudbury,ON,Canada,P3C 4R9,46.4733,-81.0254
23461,Y005,W_DB,Cent_ON,HamiltonDB,1575 Barton St E,Hamilton,ON,Canada,L8H 7K6,43.2429,-79.8086
23462,Y007,W_DB,Cent_ON,LondonDB,950 Green Valley Rd,London,ON,Canada,N6N 1E3,42.9227,-81.1989
23463,Y013,W_DB,East_NB,BathurstDB,2200 Vanier Blvd,Bathurst  ,NB,Canada,E2A 1H2,47.6394,-65.7129
23464,Y021,W_DB,East_NS,SydneyDB,418 Portsway Ave,Edwardsville,NS,Canada,B2A 4T8,46.1523,-60.2269
23465,Y024,W_DB,East_ON,OttawaDB,3070 Hawthorne Road,Ottawa,ON,Canada,K1G 6V7,45.3865,-75.6075
23466,Y030,W_DB,East_QC,OutaouaisDB,885 Blvd La Carriere ,Gatineau,QC,Canada,J8Y 6S6,45.4546,-75.7315
23467,Y026,W_DB,East_QC,GranbyDB,940 Andre Liné,Granby,QC,Canada,J2J 1E2,45.3866,-72.766
23468,Y047,W_DB,West_BC,VictoriaDB,105-765 Vanalman Ave,Victoria,BC,Canada,V8Z 3B8,48.4805,-123.3876
23469,Y042,W_DB,West_BC,NanaimoDB,4148 Mostar Road,Nanaimo,BC,Canada,V9T 5V9,49.2104,-124.0344
23470,Y043,W_DB,West_BC,Prince GeorgeDB,405 - 2nd Ave,Prince George,BC,Canada,V2L 2Z6,53.9142,-122.7326
23471,Y046,W_DB,West_BC,TerraceDB,5120 Keith Avenue,Terrace,BC,Canada,V8G 1K9,54.5152,-128.6152
23472,Y035,W_DB,West_BC,CastlegarDB,1370 Forest Foad,Castlegar,BC,Canada,V1N 3Y5,49.29315,-117.6642
23473,Y048,W_DB,West_MB,BrandonDB,1228 Victoria Ave E,Brandon,MB,Canada,R7A 2A8,49.8414,-99.9214
23474,Y054,W_DB,West_ON,Thunder BayDB,615 Beaverhall Place,Thunder Bay,ON,Canada,P7E 3N1,48.3774,-89.2997
23477,Y045,W_DC,West_BC,RichmondDC,2471 Viking Way,Richmond,BC,Canada,V6V 1N3,49.1962,-123.0746
